Month,Countyfips,CountyName,Country,PropertyType,Price Tier,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,39133,"Portage, OH",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,5690.50000,0.3778,0.0192,92.85838135109850,-0.2466,-0.1420,6.0,0.5000,1.4000,0.3333,0.3332,0.6673,71.00,-5.00,-0.0658,-11.25,-0.1368,0.0,,,0.0,,,0.0,,,1.0,0.0000,1.0000,7.0,0.4000,1.3333,0.1667,-0.0833,-0.0333,0.6503,1.2417,0.2714,-0.0532,0,0
201808,32003,"Clark, NV",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,2390.50000,0.1356,0.3850,233.50768383041050,-0.2631,-0.3335,9.5,0.0556,-0.8707,0.2631,-0.2107,-0.0567,50.50,-71.50,-0.5861,-24.50,-0.3267,0.0,,-1.0000,0.0,,,0.0,-1.0000,-1.0000,0.0,,-1.0000,9.5,0.0556,-0.8774,0.0000,0.0000,-0.0544,-0.0008,-0.7207,-0.0987,1.1077,0,0
201808,08045,"Garfield, CO",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,2287.75000,-0.0008,0.0259,287.21401254654575,-0.0044,-0.0325,11.5,-0.0417,0.2778,0.0869,-0.4788,,132.50,20.50,0.1830,-42.00,-0.2407,0.0,,,0.0,,,0.0,-1.0000,,2.5,-0.1667,-0.4444,14.0,-0.0667,0.0370,0.2174,-0.0326,-0.2826,-0.0433,0.7785,-0.1000,0.4063,1,0
201808,08077,"Mesa, CO",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,2536.50000,0.0000,-0.1343,237.15642961686450,0.0000,0.1779,2.0,0.0000,1.0000,0.0000,,,189.50,31.50,0.1994,-418.00,-0.6881,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0952,2.5625,-0.0806,0.7813,0,0
201808,25013,"Hampden, MA",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,2461.50000,0.0000,,237.30311228161300,-0.0092,,2.0,0.0000,,0.0000,,,197.00,31.50,0.1903,,,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,,0.0000,0.0000,,0.2763,,0.2632,,0,0
201808,13291,"Union, GA",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,,,,,,,2.0,0.0000,,0.0000,,,78.00,31.50,0.6774,,,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,,0.0000,0.0000,,-0.0217,,0.0000,,0,1
201808,12085,"Martin, FL",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,2176.50000,-0.0791,-0.0931,318.58516710407950,0.1287,0.1811,32.0,-0.1351,-0.0448,0.0781,-0.4215,0.3104,137.50,3.00,0.0223,-31.00,-0.1840,2.0,,0.0000,0.0,,,2.0,-0.5000,-0.5000,4.5,1.2500,-0.2500,36.5,-0.0641,-0.0759,0.1406,0.0866,-0.0385,-0.0025,0.5593,0.0417,0.3393,0,0
201808,13077,"Coweta, GA",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,,,,,,,1.0,0.0000,,0.0000,,,65.50,31.50,0.9265,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.0278,,-0.0278,,0,1
201808,51630,"Fredericksburg city, VA",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,2898.00000,0.0000,,228.57142857142800,-0.0186,,1.0,0.0000,,0.0000,,,119.50,24.50,0.2579,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,0.2447,,0.2447,,0,0
201808,48453,"Travis, TX",USA,Condo/Townhome/Row Home/Co-Op,price_500_750k,1859.25000,-0.0089,0.0461,329.82261640798200,-0.0003,-0.0234,140.5,-0.0633,-0.0310,0.2775,-0.1329,0.0061,63.00,5.00,0.0862,-5.00,-0.0735,34.0,-0.1500,-0.1500,6.0,,2.0000,60.0,0.2500,0.5789,38.0,-0.1556,-0.1364,178.5,-0.0846,-0.0556,0.2705,-0.0295,-0.0330,-0.0627,0.2496,0.0106,0.3571,0,0
