Month,CountyFIPS,CountyName,Property Type,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201808,05125,"Saline, AR",Condo/Townhome/Row Home/Co-Op,521,,149950.000000,0.3638,-0.1429,2.0,1.0000,-0.5000,448.00,-0.4421,5.9457,0.0,,,0.0,,,0.0,,,0.0,,,149950.0000,0.3638,-0.0724,2.0,1.0000,-0.5000,0.0000,0.0000,0.0000
201808,40031,"Comanche, OK",Condo/Townhome/Row Home/Co-Op,522,,94950.000000,0.0000,0.0405,15.0,-0.0625,-0.2308,126.50,0.1713,0.4134,0.0,-1.0000,-1.0000,0.0,,,0.0,,,0.0,,,109763.0000,0.0099,-0.0291,15.0,-0.0625,-0.2308,0.0000,0.0000,0.0000
201808,42085,"Mercer, PA",Condo/Townhome/Row Home/Co-Op,523,*,218800.000000,-0.0278,0.2414,11.0,0.1000,-0.4211,86.25,0.0518,0.2021,4.0,,-0.3333,0.0,,,0.0,,-1.0000,0.0,,-1.0000,221910.0000,0.0262,-0.0657,11.0,0.1000,-0.5000,0.0000,0.0000,-0.1579
201808,48451,"Tom Green, TX",Condo/Townhome/Row Home/Co-Op,524,,144950.000000,-0.0645,0.0693,14.0,-0.1250,0.0769,84.50,0.0432,0.1901,4.0,0.0000,1.0000,0.0,,,0.0,,-1.0000,0.0,,,157296.0000,-0.0077,0.0006,14.0,-0.1250,0.0769,0.0000,0.0000,0.0000
201808,01015,"Calhoun, AL",Condo/Townhome/Row Home/Co-Op,525,,124950.000000,-0.0385,-0.1526,11.0,0.0000,-0.0435,91.50,0.0398,0.0339,2.0,,,0.0,,,0.0,-1.0000,,0.0,,,127463.0000,0.0046,0.0129,11.0,0.0000,-0.0435,0.0000,0.0000,0.0000
201808,41019,"Douglas, OR",Condo/Townhome/Row Home/Co-Op,527,,279500.000000,0.7474,0.1395,13.0,0.1818,-0.1613,78.50,0.4273,0.7158,6.0,,0.5000,0.0,,,2.0,-0.5000,0.0000,0.0,,,249078.0000,0.2315,-0.0436,13.0,0.1818,-0.1613,0.0000,0.0000,0.0000
201808,36045,"Jefferson, NY",Condo/Townhome/Row Home/Co-Op,528,,309050.000000,0.0406,0.3588,13.5,0.0385,-0.4600,135.25,0.3005,0.5819,0.0,,-1.0000,0.0,,,0.0,,-1.0000,0.0,,,306266.0000,0.0315,0.3253,13.5,0.0385,-0.4600,0.0000,0.0000,0.0000
201808,06039,"Madera, CA",Condo/Townhome/Row Home/Co-Op,529,*,245050.000000,-0.0161,0.2962,6.5,-0.1875,0.6250,50.75,-0.3142,2.5000,0.0,,-1.0000,0.0,,,2.0,,,4.5,,,353867.0000,0.0718,-0.0952,11.0,0.3750,1.7500,0.6923,0.6923,0.6923
201808,17115,"Macon, IL",Condo/Townhome/Row Home/Co-Op,530,,116150.000000,0.0030,0.0636,10.0,0.1111,-0.3548,51.75,0.0781,-0.4889,4.0,0.0000,,0.0,,,0.0,,-1.0000,0.0,,,115779.0000,0.0417,0.0320,10.0,0.1111,-0.3548,0.0000,0.0000,0.0000
201808,26045,"Eaton, MI",Condo/Townhome/Row Home/Co-Op,531,*,199950.000000,0.0521,-0.0442,14.5,0.1154,-0.4082,36.50,0.1406,-0.1152,6.0,-0.2500,-0.5000,0.0,,,2.0,,0.0000,6.5,-0.2778,,186403.0000,0.0126,-0.0649,21.0,-0.0455,-0.1429,0.4483,-0.2440,0.4483
