Address,list_price,beds,baths,sq_ft,latitude,longitude
"21 E Huron St Apt 4103 Chicago, IL 60611",1775000.0,3.0,3.5,3033.0,41.8945046,-87.62712959999999
"159 E Walton Pl Apt 8D Chicago, IL 60611",1790000.0,3.0,3.5,3014.0,41.8998456,-87.6233405
"728 W Jackson Blvd # A-4 Chicago, IL 60661",430000.0,4.0,4.0,3000.0,41.8782926,-87.6449452
"955 W Carmen Ave Apt 1A Chicago, IL 60640",505000.0,4.0,4.0,3000.0,41.974238,-87.65473
"2856 N Burling St Apt 3 Chicago, IL 60657",697000.0,4.0,3.5,3000.0,41.9344547,-87.64810419999999
"2639 N Southport Ave # A Chicago, IL 60614",675000.0,4.0,3.5,3000.0,41.927907,-87.663049
"2821 N Damen Ave # 1 Chicago, IL 60618",490000.0,4.0,3.0,3000.0,41.9329292,-87.6777896
"8815 W Golf Rd Apt 12A Niles, IL 60714",255000.0,3.0,3.0,3000.0,42.0537673,-87.8471098
"94 Graymoor Ln Olympia Fields, IL 60461",25000.0,4.0,2.5,2990.0,41.526122,-87.667192
"1210 N Astor St Apt 2A Chicago, IL 60610",1300000.0,4.0,2.0,2850.0,41.9041681,-87.62710419999999
"2334 W 21st St Chicago, IL 60608",100000.0,7.0,3.0,2814.0,41.85413,-87.684664
"1316 N Sandburg Ter # 1316 Chicago, IL 60610",860000.0,4.0,2.5,2800.0,41.9097937,-87.63221469999999
"1530 S State St Apt 900 Chicago, IL 60605",940000.0,3.0,2.5,2800.0,41.8610256,-87.62791039999999
"2731 N Wilton Ave # 3 Chicago, IL 60614",710000.0,3.0,2.5,2800.0,41.9318901,-87.652323
"930 W Concord Pl # 1 Chicago, IL 60614",832500.0,3.0,2.5,2800.0,41.9119815,-87.6520051
"680 N Lake Shore Dr Apt 513 Chicago, IL 60611",495000.0,2.0,2.5,2790.0,41.8946724,-87.6167162
"180 E Pearson St Apt 6601 Chicago, IL 60611",2050000.0,3.0,3.5,2754.0,41.8978657,-87.6223555
"180 E Pearson St Apt 5207 Chicago, IL 60611",1516500.0,2.0,3.5,2754.0,41.8978657,-87.6223555
"132 E Delaware Pl Apt 5106 Chicago, IL 60611",2450000.0,3.0,3.0,2746.0,41.8996412,-87.6251219
"714 W Melrose St Apt 1E Chicago, IL 60657",810000.0,4.0,3.5,2700.0,41.941319,-87.64759099999999
"3535 N Fremont St Apt 3 Chicago, IL 60657",670000.0,3.0,3.0,2700.0,41.94652560000001,-87.6515227
"8141 Lavergne Ave Burbank, IL 60459",50000.0,4.0,2.5,2700.0,41.74398,-87.74547199999999
"1447 W Thomas St # 3 Chicago, IL 60642",695000.0,3.0,2.5,2700.0,41.9013449,-87.6644128
"820 W George St # 1 Chicago, IL 60657",586500.0,3.0,2.5,2700.0,41.9348339,-87.6499625
"3844 N Sheffield Ave # 104 Chicago, IL 60613",600000.0,3.0,2.5,2700.0,41.933939,-87.6537168
"2258 W Huron St Unit L Chicago, IL 60612",522000.0,2.0,2.5,2674.0,41.8942744,-87.6841015
"1155 N Dearborn St Apt 403 Chicago, IL 60610",1045000.0,3.0,2.5,2650.0,41.9034515,-87.62965609999999
"9875 W 144th Pl Orland Park, IL 60462",488000.0,1.0,3.5,2634.0,41.627513,-87.86097939999999
"664 W Aldine Ave Chicago, IL 60657",625000.0,5.0,2.0,2620.0,41.9420541,-87.6469948
"133 Knockderry Ln Inverness, IL 60067",497500.0,3.0,3.5,2600.0,42.114933,-88.07541499999999
"2719 N Paulina St Apt 1N Chicago, IL 60614",700000.0,4.0,3.0,2600.0,41.9307188,-87.67046119999999
"917 W Altgeld St # 1W Chicago, IL 60614",716000.0,4.0,3.0,2600.0,41.9269331,-87.6518895
