,latitude,longitude,Address,List_Price,beds,baths,sq_ft
56,42.113685,-87.937924,"5 E Stonegate Dr Prospect Heights, IL 60070","$335,000 ",3.0,1.5,"2,066"
57,41.992816,-87.688149,"6117 N Claremont Ave Apt Gn Chicago, IL 60659","$94,888 ",1.0,1.0,1
58,41.592421,-87.808153,"16422 Ozark Ave Tinley Park, IL 60477","$249,900 ",3.0,2.0,"1,300"
59,42.081984000000006,-87.981109,"77 S Evergreen Ave Unit 802 Arlington Heights, IL 60005","$389,900 ",2.0,2.5,"2,000"
60,41.972215000000006,-87.83452700000001,"8300 W Carmen Ave Norridge, IL 60706","$619,000 ",5.0,3.5,"2,615"
61,41.859268,-87.80175899999999,"1508 Wisconsin Ave Berwyn, IL 60402","$234,000 ",3.0,1.0,"1,308"
62,41.8316,-87.853246,"3236 Arthur Ave Brookfield, IL 60513","$239,000 ",3.0,2.0,"1,405"
63,42.071981,-87.798441,"1625 Glenview Rd Unit 211 Glenview, IL 60025","$394,500 ",2.0,2.0,"1,800"
64,41.930605,-87.645742,"646 W Drummond Pl Chicago, IL 60614","$2,395,000 ",7.0,4.5,"5,400"
65,41.946956,-87.698662,"3614 N California Ave Chicago, IL 60618","$749,000 ",4.0,3.5,3.5
66,,,"5203 N Winthrop Ave # 2 Chicago, IL 60640","$539,000 ",4.0,,
67,41.666198,-87.994076,"419 Hillview Ct Lemont, IL 60439","$355,000 ",3.0,3.0,"2,287"
68,41.98278,-87.65527,"5556 N Sheridan Rd Apt 203 Chicago, IL 60640","$375,900 ",2.0,2.0,"1,294"
69,41.930323,-87.663143,"2649 N Southport Ave Apt 1 Chicago, IL 60614","$499,000 ",3.0,3.0,3
70,41.925779,-87.643558,"552 W Fullerton Pkwy Chicago, IL 60614","$995,750 ",3.0,3.0,3
71,41.936212,-87.676459,"1912 W Wellington Ave Chicago, IL 60657","$1,075,000 ",5.0,3.5,3.5
72,41.820345,-87.856452,"3842 Harrison Ave Brookfield, IL 60513","$209,500 ",3.0,1.0,"1,092"
73,41.98899,-87.819233,"7662 W Peterson Ave Chicago, IL 60631","$375,000 ",4.0,2.0,"1,725"
74,,,"8975 Dublin St # 9B Orland Park, IL 60462","$165,000 ",2.0,2.0,"1,753"
75,41.564852,-87.875326,"10551 Rachel Ln Orland Park, IL 60467","$345,000 ",3.0,2.5,"2,446"
76,,,"9403 Brockton Ln # B1 Des Plaines, IL 60016","$249,000 ",2.0,2.0,2
77,41.712179,-87.67972900000001,"9950 S Oakley Ave Chicago, IL 60643","$365,000 ",5.0,3.0,"2,400"
78,41.754853000000004,-87.566636,"7714 S Yates Blvd Chicago, IL 60649","$209,900 ",4.0,3.0,"2,400"
79,42.049394,-87.685331,"1720 Maple Ave Apt 408 Evanston, IL 60201","$529,800 ",2.0,2.0,"1,600"
80,42.003651,-88.107254,"1138 Regency Dr Schaumburg, IL 60193","$208,000 ",2.0,2.5,"1,065"
81,,,"5809 W Montrose Ave Chicago, IL 60634","$385,000 ",,,
82,41.856626,-87.868291,"1553 Bristol Ave Westchester, IL 60154","$279,900 ",3.0,2.0,"1,218"
83,41.76321,-87.670715,"7157 S Wolcott Ave Chicago, IL 60636","$32,900 ",2.0,1.0,792
84,41.881125,-87.8141,"310 Lathrop Ave Apt 500 Forest Park, IL 60130","$82,900 ",1.0,1.0,635
85,41.903684999999996,-87.62535600000001,"1150 N Lake Shore Dr Apt 24K Chicago, IL 60611","$274,900 ",1.0,1.0,910
86,41.93573,-87.653613,"2937 N Sheffield Ave Apt 2 Chicago, IL 60657","$269,900 ",2.0,1.0,1
87,42.009373,-87.87602700000001,"1945 E Touhy Ave Des Plaines, IL 60018","$525,000 ",,,
88,42.108419,-87.832115,"2150 Valencia Dr Apt 114A Northbrook, IL 60062","$269,000 ",3.0,2.0,"1,300"
89,42.046281,-88.093298,"1160 Valley Ln Apt 107 Hoffman Estates, IL 60169","$119,900 ",3.0,2.0,2
90,41.894554,-87.687849,"2425 W Superior St Chicago, IL 60612","$619,000 ",4.0,,
91,42.030516999999996,-87.69547,"1610 Monroe St Apt 1E Evanston, IL 60202","$299,000 ",3.0,2.0,"1,800"
92,41.936246000000004,-87.642548,"515 W Wellington Ave Chicago, IL 60657","$1,385,000 ",5.0,4.5,"4,749"
93,41.933869,-87.676108,"1907 W George St Chicago, IL 60657","$1,295,000 ",4.0,3.5,3.5
94,41.676607000000004,-87.80243399999999,"14 Moorings Dr Palos Heights, IL 60463","$310,000 ",2.0,2.5,"2,050"
95,42.029975,-87.882754,"1670 Whitcomb Ave Des Plaines, IL 60018","$399,900 ",3.0,2.0,"2,789"
96,41.933244,-87.637119,"2800 N Lake Shore Dr Apt 2701 Chicago, IL 60657","$487,650 ",2.0,2.0,2
97,41.9353,-87.641525,"455 W Oakdale Ave Apt 1 Chicago, IL 60657","$514,999 ",3.0,2.0,"1,839"
98,42.070393,-87.731034,"408 Sandy Ln Wilmette, IL 60091","$575,000 ",4.0,2.5,"2,720"
99,42.150449,-88.006618,"4009 N Galena Ave Arlington Heights, IL 60004","$289,500 ",3.0,2.0,2
100,42.030601000000004,-88.064076,"216 Maplebrook Ct Unit V2 Schaumburg, IL 60194","$192,500 ",2.0,2.0,"1,200"
101,41.948254999999996,-87.77544,"5931 W Warwick Ave Chicago, IL 60634","$285,000 ",3.0,1.0,"1,571"
102,41.858569,-87.624414,"1720 S Michigan Ave Apt 1608 Chicago, IL 60616","$369,000 ",2.0,2.0,"1,100"
103,41.858684999999994,-87.622659,"1712 S Indiana Ave Chicago, IL 60616","$729,900 ",3.0,3.5,"2,511"
104,41.972229,-87.77674499999999,"4969 N Mason Ave Chicago, IL 60630","$379,900 ",4.0,3.0,3
105,42.107575,-87.95706700000001,"2107 E Lillian Ln Arlington Heights, IL 60004","$425,000 ",3.0,3.5,"2,186"
106,42.086619,-87.92254399999999,"904 E Barberry Ln Mount Prospect, IL 60056","$259,900 ",3.0,2.5,"1,203"
107,42.051564,-87.923979,"906 E Golfhurst Ave Mount Prospect, IL 60056","$340,000 ",3.0,2.0,"1,373"
108,,,"2448 N Artesian Ave # 1 Chicago, IL 60647","$589,900 ",6.0,,
109,42.070344,-87.954286,"1255 W Prospect Ave Apt 302 Mount Prospect, IL 60056","$159,900 ",2.0,2.0,"1,342"
110,41.874851,-87.641703,"500 S Clinton St Apt 617 Chicago, IL 60607","$199,999 ",1.0,1.0,1
111,41.776931,-87.65287,"6429 S May St Chicago, IL 60621","$220,000 ",8.0,4.0,4
112,42.012459,-87.816726,"7232 N Oriole Ave Chicago, IL 60631","$290,000 ",4.0,4.0,960
113,41.927457000000004,-87.653462,"2501 N Sheffield Ave Apt 1S Chicago, IL 60614","$899,000 ",4.0,3.0,"2,600"
114,41.745839000000004,-87.734657,"8053 S Kolmar Ave Chicago, IL 60652","$254,999 ",5.0,2.0,"2,100"
115,,,"423 Edgewood Pl # 2 River Forest, IL 60305","$137,900 ",2.0,1.0,1
116,42.059932,-87.934435,"328 S Maple St Mount Prospect, IL 60056","$199,900 ",3.0,1.5,"1,280"
117,41.941044,-87.804725,"3340 N Nottingham Ave Chicago, IL 60634","$315,000 ",4.0,2.5,"1,614"
118,,,"1701 N Keeler Ave # 1 Chicago, IL 60639","$379,900 ",6.0,,
119,41.986952,-87.831233,"1909 Courtland Ave Park Ridge, IL 60068","$888,000 ",5.0,5.5,"3,600"
120,42.030167,-87.84805300000001,"1620 Walnut St Park Ridge, IL 60068","$549,000 ",4.0,2.5,"2,000"
121,42.069189,-87.858397,"10361 Dearlove Rd Apt 2G Glenview, IL 60025","$169,999 ",2.0,2.0,"1,200"
122,41.894655,-87.616704,"680 N Lake Shore Dr Apt 417 Chicago, IL 60611","$239,900 ",1.0,1.0,"1,050"
123,41.959107,-87.718845,"4259 N Monticello Ave Chicago, IL 60618","$615,000 ",5.0,3.5,"3,000"
124,41.89509,-87.642251,"520 W Huron St Apt 513 Chicago, IL 60654","$319,000 ",1.0,1.0,935
125,41.846391,-87.89308,"10826 Berkshire St Westchester, IL 60154","$310,000 ",3.0,2.0,"1,256"
126,41.790418,-87.591179,"5735 S Dorchester Ave Chicago, IL 60637","$1,100,000 ",5.0,3.0,"2,380"
127,,,"2504 Camberley Cir # 2-811 Westchester, IL 60154","$315,000 ",2.0,2.0,"1,183"
128,41.485099,-87.683447,"5 School House Ct Park Forest, IL 60466","$61,236 ",2.0,2.5,"1,636"
