,List_Price ,List_Price .1,beds,baths,sq_ft
67,"2731 N Wilton Ave # 3 Chicago, IL 60614",710000.0,3.0,2.5,2800.0
68,"930 W Concord Pl # 1 Chicago, IL 60614",832500.0,3.0,2.5,2800.0
69,"680 N Lake Shore Dr Apt 513 Chicago, IL 60611",495000.0,2.0,2.5,2790.0
70,"180 E Pearson St Apt 6601 Chicago, IL 60611",2050000.0,3.0,3.5,2754.0
71,"180 E Pearson St Apt 5207 Chicago, IL 60611",1516500.0,2.0,3.5,2754.0
72,"132 E Delaware Pl Apt 5106 Chicago, IL 60611",2450000.0,3.0,3.0,2746.0
73,"714 W Melrose St Apt 1E Chicago, IL 60657",810000.0,4.0,3.5,2700.0
74,"3535 N Fremont St Apt 3 Chicago, IL 60657",670000.0,3.0,3.0,2700.0
75,"8141 Lavergne Ave Burbank, IL 60459",50000.0,4.0,2.5,2700.0
76,"1447 W Thomas St # 3 Chicago, IL 60642",695000.0,3.0,2.5,2700.0
77,"820 W George St # 1 Chicago, IL 60657",586500.0,3.0,2.5,2700.0
78,"3844 N Sheffield Ave # 104 Chicago, IL 60613",600000.0,3.0,2.5,2700.0
79,"2258 W Huron St Unit L Chicago, IL 60612",522000.0,2.0,2.5,2674.0
80,"1155 N Dearborn St Apt 403 Chicago, IL 60610",1045000.0,3.0,2.5,2650.0
81,"9875 W 144th Pl Orland Park, IL 60462",488000.0,1.0,3.5,2634.0
82,"664 W Aldine Ave Chicago, IL 60657",625000.0,5.0,2.0,2620.0
83,"133 Knockderry Ln Inverness, IL 60067",497500.0,3.0,3.5,2600.0
84,"2719 N Paulina St Apt 1N Chicago, IL 60614",700000.0,4.0,3.0,2600.0
85,"917 W Altgeld St # 1W Chicago, IL 60614",716000.0,4.0,3.0,2600.0
86,"1530 W Cortez St Apt 1 Chicago, IL 60642",522000.0,3.0,3.0,2600.0
87,"1022 N Wood St # 1 Chicago, IL 60622",623000.0,3.0,2.5,2600.0
88,"1412 W Cuyler Ave Apt 1W Chicago, IL 60613",602500.0,3.0,2.5,2600.0
89,"2800 N Talman Ave # D5 Chicago, IL 60618",390000.0,2.0,2.5,2600.0
90,"1532 W Fry St Chicago, IL 60642",430000.0,3.0,3.0,2550.0
91,"1509 N Hudson Ave Chicago, IL 60610",650000.0,3.0,3.0,2500.0
92,"3520 N Reta Ave Apt 1S Chicago, IL 60657",759000.0,4.0,2.5,2500.0
93,"1827 W Iowa St # 1 Chicago, IL 60622",580000.0,3.0,2.5,2500.0
94,"1738 N Mohawk St # 3 Chicago, IL 60614",975000.0,3.0,2.5,2500.0
95,"452 W Roslyn Pl # 1E Chicago, IL 60614",475000.0,3.0,2.5,2500.0
96,"4040 N Kenmore Ave Apt 1S Chicago, IL 60613",445500.0,3.0,2.0,2500.0
97,"1641 N Claremont Ave Chicago, IL 60647",1307500.0,3.0,3.5,2499.0
98,"1031 W Monroe St Unit 1 Chicago, IL 60607",928500.0,3.0,3.0,2425.0
99,"1505 N Mohawk St # 1W Chicago, IL 60610",760000.0,4.0,3.0,2400.0
100,"1367 W Crystal St # 1 Chicago, IL 60642",520000.0,4.0,3.0,2400.0
101,"873 N Hermitage Ave # 1 Chicago, IL 60622",532000.0,3.0,3.0,2400.0
102,"1945 W Erie St # 1W Chicago, IL 60622",453000.0,3.0,2.5,2400.0
103,"2616 N Orchard St Apt 4 Chicago, IL 60614",516000.0,3.0,2.5,2400.0
104,"1140 W Cornelia Ave Apt C Chicago, IL 60657",636500.0,3.0,2.5,2400.0
105,"4650 N Winthrop Ave Apt 3C Chicago, IL 60640",498000.0,3.0,2.0,2400.0
106,"55 E Erie St Apt 1705 Chicago, IL 60611",1150000.0,3.0,3.0,2384.0
107,"1445 W Huron St Apt 3 Chicago, IL 60642",505000.0,3.0,2.5,2350.0
108,"1000 W Washington Blvd Unit 406 Chicago, IL 60607",1200000.0,2.0,2.0,2350.0
109,"1512 N Campbell Ave # 1 Chicago, IL 60622",450000.0,3.0,3.0,2320.0
110,"6145 N Glenwood Ave # 1N Chicago, IL 60660",418000.0,3.0,3.0,2300.0
111,"3038 N Leavitt St # 1 Chicago, IL 60618",596000.0,3.0,3.0,2300.0
112,"2743 N Wolcott Ave Unit 44 Chicago, IL 60614",637000.0,3.0,3.0,2300.0
113,"1440 N State Pkwy Apt 21D Chicago, IL 60610",770000.0,3.0,2.5,2300.0
114,"547 S Clark St Apt 1401 Chicago, IL 60605",825000.0,3.0,2.5,2300.0
115,"1646 W Julian St Apt A Chicago, IL 60622",485000.0,2.0,2.5,2300.0
116,"910 W Jackson Blvd # 3W Chicago, IL 60607",900000.0,3.0,1.5,2300.0
117,"4035 N Parkside Dr Hoffman Estates, IL 60192",357500.0,4.0,2.5,2278.0
118,"1651 W Huron St # 1E Chicago, IL 60622",505000.0,3.0,2.5,2250.0
119,"1122 W Diversey Pkwy # 2E Chicago, IL 60614",465000.0,2.0,2.0,2238.0
120,"1812 S Federal St # F36 Chicago, IL 60616",508000.0,3.0,2.0,2230.0
