Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2018-08-01 00:00:00,48121,"Denton, TX",85,,380216.750000,-0.0250,-0.0197,4224.0,0.0166,0.1461,46.00,0.2105,0.0824,1480.0,-0.1921,-0.0173,194.0,-0.1638,0.0430,1908.0,0.0236,0.2927,1246.5,-0.0835,-0.1096,489214.0000,-0.0129,-0.0005,5470.5,-0.0081,0.0757,0.2951,-0.0322,-0.0848
2018-08-01 00:00:00,29095,"Jackson, MO",86,,202475.000000,-0.0126,0.0945,2910.5,0.0488,0.0952,46.50,0.0333,-0.0792,1058.0,-0.1682,0.1160,40.0,-0.1667,0.6667,786.0,0.0856,0.1133,0.5,-0.5000,-0.9880,257672.0000,-0.0129,0.0555,2911.0,0.0486,0.0785,0.0002,-0.0002,-0.0154
2018-08-01 00:00:00,06111,"Ventura, CA",87,,699825.000000,0.0011,0.0011,2753.0,0.0307,0.0970,44.00,0.0000,-0.0112,1032.0,0.0279,0.0840,24.0,-0.4000,-0.2500,850.0,0.2074,0.3365,489.5,0.0618,-0.0317,1109915.0000,-0.0124,0.0261,3242.5,0.0353,0.0755,0.1778,0.0052,-0.0236
2018-08-01 00:00:00,48141,"El Paso, TX",88,,173571.250000,0.0091,0.0456,3490.5,-0.0285,-0.1786,80.00,-0.0698,-0.1011,922.0,0.1355,0.0924,136.0,0.6190,0.2830,592.0,0.0803,0.0423,994.0,-0.0623,-0.0429,200577.0000,-0.0009,-0.0414,4484.5,-0.0362,-0.1519,0.2848,-0.0102,0.0404
2018-08-01 00:00:00,06081,"San Mateo, CA",89,*,1473550.000000,-0.0103,0.1512,668.0,0.0603,0.1971,28.50,0.0556,-0.0500,550.0,-0.0582,0.0784,18.0,-0.1000,-0.1000,126.0,0.6579,0.5750,514.5,-0.0910,-0.1190,2564241.0000,-0.0768,0.0100,1182.5,-0.0113,0.0355,0.7702,-0.1282,-0.2764
2018-08-01 00:00:00,35001,"Bernalillo, NM",90,*,247300.000000,-0.0106,0.0302,2434.5,0.0118,-0.0801,52.00,0.0833,0.0196,950.0,-0.0500,-0.0883,88.0,1.4444,0.3333,992.0,-0.0498,-0.0236,1307.0,-0.0368,260.4000,320645.0000,-0.0117,0.0013,3741.5,-0.0057,0.4111,0.5369,-0.0271,0.5350
2018-08-01 00:00:00,25021,"Norfolk, MA",91,,575000.000000,-0.0001,0.0285,1824.0,0.0000,0.1218,47.50,0.0920,-0.0686,886.0,0.0114,0.2170,26.0,0.0833,0.1818,446.0,-0.0304,0.0985,7.5,-0.3750,14.0000,860894.0000,-0.0296,-0.0029,1831.5,-0.0025,0.1260,0.0041,-0.0025,0.0038
2018-08-01 00:00:00,06029,"Kern, CA",92,,255050.000000,-0.0188,0.0506,2985.5,0.0141,-0.2694,49.00,0.0208,-0.1404,1266.0,0.0343,-0.0186,64.0,0.0667,-0.3333,888.0,0.0673,-0.0067,421.0,0.0344,0.4876,300329.0000,-0.0068,0.0834,3406.5,0.0166,-0.2204,0.1410,0.0028,0.0718
2018-08-01 00:00:00,34017,"Hudson, NJ",93,,529050.000000,-0.0112,0.1197,1919.0,-0.0254,0.2289,53.00,0.1778,0.0000,626.0,-0.1448,0.0982,16.0,1.0000,0.0000,296.0,-0.2600,0.2759,0.0,,-1.0000,677144.0000,-0.0044,-0.0124,1919.0,-0.0254,0.2270,0.0000,0.0000,-0.0016
2018-08-01 00:00:00,01073,"Jefferson, AL",94,,205050.000000,-0.0238,0.0687,3590.0,-0.0014,-0.1109,59.00,0.0351,-0.1259,994.0,-0.0830,-0.0236,34.0,-0.4688,-0.3462,736.0,-0.0213,0.0000,5.0,0.0000,,272877.0000,-0.0126,0.0674,3595.0,-0.0014,-0.1097,0.0014,0.0000,0.0014
2018-08-01 00:00:00,08041,"El Paso, CO",95,*,362550.000000,-0.0203,-0.0222,3015.0,0.0795,0.1872,36.50,0.1774,-0.0701,1618.0,-0.0061,0.1189,142.0,0.1452,0.1452,1326.0,0.0869,0.1237,921.0,-0.1262,-0.2296,462651.0000,-0.0499,-0.0155,3936.0,0.0231,0.0538,0.3055,-0.0719,-0.1653
2018-08-01 00:00:00,40143,"Tulsa, OK",96,*,234250.000000,-0.0013,0.0187,3403.0,0.0053,-0.0160,60.00,0.0169,0.0256,1166.0,-0.0411,0.0486,26.0,-0.2778,-0.5357,1162.0,-0.0507,-0.0085,1491.0,-0.0424,1490.0000,317306.0000,0.0044,0.0359,4894.0,-0.0097,0.4147,0.4381,-0.0218,0.4379
2018-08-01 00:00:00,24510,"Baltimore city, MD",97,,180050.000000,-0.0270,0.1920,3444.5,0.0113,0.0098,60.50,0.0254,-0.0320,1146.0,-0.0450,0.0670,84.0,0.6154,0.2353,1014.0,0.0222,0.1317,2.0,0.0000,0.0000,237761.0000,-0.0154,0.0081,3446.5,0.0113,0.0098,0.0006,0.0000,0.0000
2018-08-01 00:00:00,08005,"Arapahoe, CO",98,,400050.000000,-0.0243,-0.1100,2768.0,0.0222,1.1516,32.50,0.0484,0.1404,1120.0,-0.1411,-0.0541,62.0,0.0333,-0.0606,942.0,0.2395,0.5292,19.5,0.0263,-0.3390,550712.0000,-0.0206,-0.2097,2787.5,0.0222,1.1182,0.0070,0.0000,-0.0159
2018-08-01 00:00:00,17097,"Lake, IL",99,,365000.000000,-0.0134,-0.0108,6406.5,-0.0141,0.0206,58.50,0.1250,-0.0488,1760.0,-0.1039,0.1443,60.0,0.0714,1.3077,1710.0,0.0130,0.1206,288.5,-0.0086,0.0928,529130.0000,-0.0110,-0.0272,6695.0,-0.0138,0.0235,0.0450,0.0002,0.0030
2018-08-01 00:00:00,44007,"Providence, RI",100,,265275.000000,-0.0140,0.0320,2196.5,0.0642,0.4221,42.00,0.0500,-0.1158,952.0,0.0085,0.2830,10.0,0.2500,-0.1667,508.0,0.1043,0.1189,742.0,-0.0512,0.5687,333405.0000,0.0002,0.0242,2938.5,0.0325,0.4565,0.3378,-0.0411,0.0316
