Address ,List_Price ,
"1720 S Michigan Ave Apt 1608 Chicago, IL 60616","$235,000 ",
"1712 S Indiana Ave Chicago, IL 60616","$505,000 ",
"4969 N Mason Ave Chicago, IL 60630","$488,000 ",
"2107 E Lillian Ln Arlington Heights, IL 60004","$84,500 ",
"904 E Barberry Ln Mount Prospect, IL 60056","$222,500 ",
"906 E Golfhurst Ave Mount Prospect, IL 60056","$160,000 ",
"2448 N Artesian Ave # 1 Chicago, IL 60647","$665,000 ",
"1255 W Prospect Ave Apt 302 Mount Prospect, IL 60056","$117,000 ",
"500 S Clinton St Apt 617 Chicago, IL 60607","$370,000 ",
"6429 S May St Chicago, IL 60621","$35,000 ",
"7232 N Oriole Ave Chicago, IL 60631","$45,000 ",
"1706 N Major Ave Chicago, IL 60639","$85,000 ",
"2501 N Sheffield Ave Apt 1S Chicago, IL 60614","$390,000 ",
"8053 S Kolmar Ave Chicago, IL 60652","$130,000 ",
"423 Edgewood Pl # 2 River Forest, IL 60305","$1,300,000 ",
"328 S Maple St Mount Prospect, IL 60056","$1,300,000 ",
"3340 N Nottingham Ave Chicago, IL 60634","$155,000 ",
"1701 N Keeler Ave # 1 Chicago, IL 60639","$125,000 ",
"1909 Courtland Ave Park Ridge, IL 60068","$465,000 ",
"1620 Walnut St Park Ridge, IL 60068","$465,000 ",
"10361 Dearlove Rd Apt 2G Glenview, IL 60025","$465,000 ",
"680 N Lake Shore Dr Apt 417 Chicago, IL 60611","$317,500 ",
"4259 N Monticello Ave Chicago, IL 60618","$187,500 ",
"520 W Huron St Apt 513 Chicago, IL 60654","$145,000 ",
"10826 Berkshire St Westchester, IL 60154","$1,300,000 ",
"5735 S Dorchester Ave Chicago, IL 60637","$1,300,000 ",
"2504 Camberley Cir # 2-811 Westchester, IL 60154","$215,000 ",
"5 School House Ct Park Forest, IL 60466","$173,000 ",
"1510 Bonnie Brae Pl River Forest, IL 60305","$210,000 ",
"7643 W Sunset Dr Elmwood Park, IL 60707","$265,000 ",
"215 River Front Dr Mount Prospect, IL 60056","$300,000 ",
"2932 225th St Sauk Village, IL 60411","$200,000 ",
"15724 Old Orchard Ct Unit 1E Orland Park, IL 60462","$200,000 ",
"3311 S 58th Ave Cicero, IL 60804","$290,000 ",
"7206 Bradford Ct # 140 Justice, IL 60458","$106,000 ",
"13005 Ridgewood Dr Palos Park, IL 60464","$220,000 ",
"2723 W Wellington Ave # 2 Chicago, IL 60618","$376,000 ",
"2019 W Pensacola Ave Chicago, IL 60618","$230,000 ",
"3637 N Damen Ave # 1 Chicago, IL 60618","$250,000 ",
"235 Trenton Ct Schaumburg, IL 60193","$91,500 ",
"1412 W Plymouth Dr Arlington Heights, IL 60004","$1,525,000 ",
"5930 N Nagle Ave Chicago, IL 60646","$252,000 ",
"305 Hickory Ct Northbrook, IL 60062","$265,000 ",
"11400 S Forest Ave Chicago, IL 60628","$152,000 ",
"106 Cambridge Ave Streamwood, IL 60107","$397,500 ",
"4401 W 81st St Chicago, IL 60652","$245,000 ",
"8453 N Ottawa Ave Niles, IL 60714","$86,000 ",
"12509 S Bishop St Calumet Park, IL 60827","$779,000 ",
"Homewood, IL 60430","$205,000 ",
"10815 Christopher Dr Lemont, IL 60439","$450,000 ",
"6051 N Olympia Ave Chicago, IL 60631","$340,000 ",
"34 Apache St Park Forest, IL 60466","$72,000 ",
"4732 W Jackson Blvd Chicago, IL 60644","$765,000 ",
"234 N Wilke Rd Palatine, IL 60074","$803,500 ",
"6848 S Peoria St # 1 Chicago, IL 60621","$540,000 ",
"6732 S Honore St Chicago, IL 60636","$310,000 ",
"2224 Westover Ave North Riverside, IL 60546","$169,000 ",
"3737 East Ave Berwyn, IL 60402","$425,000 ",
"6723 Riverside Dr Berwyn, IL 60402","$348,500 ",
