Address,List_Price ,beds,baths,sq_ft
"144 S Middleton Ave Palatine, IL 60067","$299,990 ",,1,1
"6214 S Monitor Ave Chicago, IL 60638","$269,000 ",4,3,"1,104"
"2952 Ridge Rd Lansing, IL 60438","$149,000 ",3,2,780
"17212 Oak Park Ave Unit 2SW Tinley Park, IL 60477","$177,500 ",2,2,"1,200"
"5214 Greenleaf St Skokie, IL 60077","$419,900 ",3,2,"1,381"
"1056 W 111th Pl Chicago, IL 60643","$164,900 ",4,2,"1,056"
"8239 Northway Dr Hanover Park, IL 60133","$205,000 ",3,1.5,1.5
"4491 Thornbark Dr Hoffman Estates, IL 60192","$324,900 ",4,2.5,"1,942"
"1630 Chippewa Trl Wheeling, IL 60090","$189,900 ",3,1.5,"1,315"
"826 Wenonah Ave Oak Park, IL 60304","$479,000 ",4,3,"1,621"
"3054 N Monticello Ave Chicago, IL 60618","$289,900 ",4,,
"300 W Scott St # 601 Chicago, IL 60610","$309,900 ",1,1,980
"1046 W Altgeld St Unit 1N Chicago, IL 60614","$775,000 ",3,2.5,"2,000"
"700 N Larrabee St Apt 1913 Chicago, IL 60654","$499,000 ",2,2,"1,250"
"222 E Chestnut St Apt 13A Chicago, IL 60611","$749,900 ",3,2.5,"2,700"
"5120 W 63rd Pl Chicago, IL 60638","$179,900 ",3,1,988
"640 N Spring Ave La Grange Park, IL 60526","$749,900 ",5,3.5,"2,800"
"414 S Lincoln Ave Park Ridge, IL 60068","$329,900 ",3,1,"1,000"
"140 W Wood St Unit 230 Palatine, IL 60067","$134,900 ",2,1,"1,064"
"11 S Wille St Apt 610 Mount Prospect, IL 60056","$275,000 ",2,2,"1,500"
"2803 Wildflower Ct Glenview, IL 60026","$574,999 ",4,4,"2,211"
"2422 W Superior St Chicago, IL 60612","$499,900 ",,,
"955 Ridge Rd Apt 3C Homewood, IL 60430","$92,900 ",2,1.5,960
"5938 W Fullerton Ave Chicago, IL 60639","$459,000 ",5,,
"5408 S Catherine Ave Countryside, IL 60525","$440,000 ",3,2,"1,700"
"1306 S New Wilke Rd Unit 2D Arlington Heights, IL 60005","$145,000 ",2,2,2
"1212 N La Salle Dr Apt 2603 Chicago, IL 60610","$260,062 ",1,1,1
"10605 Southwest Hwy # 3E Worth, IL 60482","$148,000 ",2,2,"1,250"
"4905 S Lorel Ave Chicago, IL 60638","$259,900 ",5,2,"2,100"
"12251 Maple Ave Blue Island, IL 60406","$184,900 ",4,2,"1,121"
"5012 W Argyle St Chicago, IL 60630","$200,000 ",4,1,"1,500"
"9438 Keystone Ave Skokie, IL 60076","$465,000 ",4,2.5,2.5
"9518 Karlov Ave Skokie, IL 60076","$525,000 ",4,3,"2,180"
"4257 N Ashland Ave Apt 3 Chicago, IL 60613","$325,000 ",2,2,2
"2764 W Saint Mary St Chicago, IL 60647","$459,000 ",2,1,1
"6851 N Northwest Hwy Apt 3A Chicago, IL 60631","$238,000 ",2,1,1
"3556 N Keeler Ave # 3C Chicago, IL 60641","$167,900 ",2,1,950
"8152 Elmwood Ave Apt 101 Skokie, IL 60077","$167,000 ",2,2,2
"10028 S Komensky Ave Oak Lawn, IL 60453","$324,800 ",4,3,"1,932"
"7918 S Richmond St Chicago, IL 60652","$244,900 ",4,2,"1,100"
"8501 W 128th St Palos Park, IL 60464","$595,000 ",4,3.5,"5,000"
"5218 S McVicker Ave Chicago, IL 60638","$400,000 ",4,3,"2,447"
"2644 W Cortland St Chicago, IL 60647","$899,900 ",4,3.5,"3,800"
"2304 Algonquin Rd Apt 6 Rolling Meadows, IL 60008","$92,900 ",2,1,1
"908 Grissom Trl Elk Grove Village, IL 60007","$289,000 ",3,1.5,"1,431"
"1234 Elmwood Ave Apt 4F Evanston, IL 60202","$229,900 ",3,2,"1,600"
"9514 Glenlake Ave Apt 225 Rosemont, IL 60018","$119,900 ",2,1,600
"9502 Glenlake Ave Apt 219 Rosemont, IL 60018","$89,900 ",,1,400
"10943 McVicker Ave Chicago Ridge, IL 60415","$136,000 ",3,1,"1,500"
"15114 Wabash Ave South Holland, IL 60473","$154,900 ",3,1.5,"1,072"
"200 Community Dr La Grange Park, IL 60526","$435,000 ",3,1.5,"2,148"
"5052 W Sunnyside Ave Chicago, IL 60630","$439,000 ",8,,
"1521 N Artesian Ave # 1 Chicago, IL 60622","$465,000 ",4,3,"2,400"
"8411 S Escanaba Ave Chicago, IL 60617","$175,000 ",7,,
"502 W Armitage Ave Apt 1 Chicago, IL 60614","$525,000 ",3,2,2
"3041 S Michigan Ave Unit 505 Chicago, IL 60616","$69,000 ",,1,480
"845 W Montrose Ave Apt G Chicago, IL 60613","$228,000 ",2,1,1
"2016 Manor Ln Park Ridge, IL 60068","$949,850 ",6,6.5,"4,203"
"10931 S Lloyd Dr Apt 2B Worth, IL 60482","$75,000 ",2,1,900
"5244 170th St Oak Forest, IL 60452","$224,900 ",3,2,"1,700"
"4001 Walters Ave Northbrook, IL 60062","$360,000 ",4,2.5,"2,121"
"3054 N Central Park Ave Chicago, IL 60618","$674,000 ",3,2.5,2.5
"1452 W Wolfram St # 2 Chicago, IL 60657","$419,000 ",2,1.5,1.5
"3641 W Cornelia Ave Unit B Chicago, IL 60618","$328,900 ",3,2,2
"1512 N Elk Grove Ave Chicago, IL 60622","$1,199,000 ",5,4.5,"4,400"
"778 E Oakton St Des Plaines, IL 60018","$275,000 ",4,2,"1,044"
"75 6th Ave Apt 107 La Grange, IL 60525","$184,900 ",2,1.5,1.5
"11844 S Oakley Ave Chicago, IL 60643","$119,900 ",3,2.5,"1,652"
"2212 Flossmoor Rd Flossmoor, IL 60422","$285,000 ",4,3,"2,655"
"107 Buckskin Ln Streamwood, IL 60107","$325,000 ",3,2.5,"2,700"
"Chicago, IL 60623","$269,900 ",3,2.5,"2,394"
