Address,List_Price ,beds,baths,sq_ft
"3127 N Nordica Ave Chicago, IL 60634","$259,900 ",2,2,2
"5211 S Emerald Ave Chicago, IL 60609","$22,000 ",3,1.5,1.5
"8547 S Burnham Ave Chicago, IL 60617","$34,020 ",4,,
"358 Niagara St Park Forest, IL 60466","$49,900 ",4,1,"1,118"
"1333 W 97th Pl Chicago, IL 60643","$52,000 ",3,1,924
"632 E 90th Pl Chicago, IL 60619","$67,600 ",3,2,"1,254"
"1847 Cedar Rd Homewood, IL 60430","$139,900 ",2,1,912
"251 W 15th Pl Chicago Heights, IL 60411","$65,000 ",5,2,"1,400"
"2343 N Kilbourn Ave Chicago, IL 60639","$329,999 ",9,,
"540 N Park Rd La Grange Park, IL 60526","$579,000 ",4,3,"2,174"
"3216 N Ravenswood Ave Apt 1N Chicago, IL 60657","$575,000 ",3,3,3
"947 Garden Ln Wheeling, IL 60090","$339,500 ",4,2.5,"2,220"
"22449 Pleasant Dr Apt 2 Richton Park, IL 60471","$45,900 ",2,1.5,975
"42 Brook Ln Palos Park, IL 60464","$319,000 ",3,2.5,"2,454"
"843 S 20th Ave Maywood, IL 60153","$94,500 ",3,1.5,"1,028"
"15875 135th St Lemont, IL 60439","$775,000 ",6,4.5,"4,823"
"11920 Lynch Dr Orland Park, IL 60467","$425,000 ",3,2,"3,007"
"16555 Christopher Dr Lemont, IL 60439","$599,900 ",4,3.5,"3,757"
"7345 W 62nd Pl Summit, IL 60501","$269,700 ",4,3,"2,640"
"5749 S Mobile Ave Chicago, IL 60638","$299,700 ",3,2,"2,014"
"8501 New Castle Ave Burbank, IL 60459","$414,700 ",5,3,"3,200"
"2844 W Touhy Ave Unit B Chicago, IL 60645","$305,000 ",3,2.5,"1,550"
"229 Southgate Dr Northbrook, IL 60062","$349,500 ",3,2,"1,630"
"4320 Foster St Skokie, IL 60076","$300,000 ",3,1.5,"1,242"
"5615 N Canfield Ave Chicago, IL 60631","$359,000 ",3,3,"1,418"
"1931 Farnham Ct Schaumburg, IL 60194","$179,900 ",3,1.5,"1,320"
"190 N Milwaukee Ave Apt 503 Wheeling, IL 60090","$340,000 ",3,3,"1,900"
"2119 N Bissell St Chicago, IL 60614","$1,275,000 ",6,,
"2019 N Whipple St Apt 1 Chicago, IL 60647","$625,000 ",4,3,3
"1926 N Hermitage Ave Chicago, IL 60622","$979,000 ",6,,
"9733 Merton Ave Oak Lawn, IL 60453","$225,000 ",3,2,"1,300"
"11445 S Saint Louis Ave Chicago, IL 60655","$299,999 ",3,2.5,"1,539"
"11156 S Trumbull Ave Chicago, IL 60655","$165,000 ",5,3,"2,407"
"3200 N Lake Shore Dr Apt 505 Chicago, IL 60657","$499,900 ",3,2,"1,800"
"1240 W George St Chicago, IL 60657","$2,199,000 ",6,6,"5,848"
"2510 N Burling St Chicago, IL 60614","$1,350,000 ",5,3.5,"3,300"
"6504 N Oxford Ave Chicago, IL 60631","$879,000 ",6,3.5,"4,050"
"5308 W 102nd St Oak Lawn, IL 60453","$299,800 ",5,2.5,"2,425"
"1929 N Sedgwick St Apt C Chicago, IL 60614","$645,000 ",2,2,"1,600"
"2315 N Wayne Ave Chicago, IL 60614","$799,900 ",3,2.5,"2,560"
"812 W Van Buren St Apt 5A Chicago, IL 60607","$669,900 ",3,3,"1,700"
"3903 N Oriole Ave Chicago, IL 60634","$349,900 ",4,2,2
"4106 N Mozart St Apt 2W Chicago, IL 60618","$198,888 ",2,1,1
"375 W Erie St Apt 517 Chicago, IL 60654","$599,000 ",2,2,"1,716"
"208 E Olive Ave Prospect Heights, IL 60070","$369,000 ",4,2,"2,568"
"9446 Kelvin Ln Apt 3222 Schiller Park, IL 60176","$86,000 ",1,1,635
"4401 Grove Ave Stickney, IL 60402","$229,900 ",3,1,934
"20501 Hellenic Dr Olympia Fields, IL 60461","$299,900 ",5,3,"2,584"
"4000 S Western Ave Ste 4 Chicago, IL 60609","$275,000 ",3,2,"1,450"
"2956 S Canal St # 2 Chicago, IL 60616","$475,000 ",5,,
"Orland Park, IL 60467","$414,900 ",3,2.5,"2,600"
"9110 Keating Ave Skokie, IL 60076","$449,900 ",6,,
"3607 Oriole Ln Rolling Meadows, IL 60008","$220,000 ",3,1,"1,475"
"7946 S Yale Ave Chicago, IL 60620","$21,000 ",5,2,"1,522"
"1951 Shepherd Dr Des Plaines, IL 60018","$289,900 ",3,2,"1,759"
"1052 S River Rd Des Plaines, IL 60016","$229,000 ",3,2,"2,081"
"2638 W Lake Ave Glenview, IL 60026","$639,999 ",3,2.5,"2,251"
"11941 Bates Ct Orland Park, IL 60467","$625,000 ",4,4.5,"4,220"
"12533 S 73rd Ave Palos Heights, IL 60463","$875,000 ",6,6,"5,234"
"409 W 15th St Chicago Heights, IL 60411","$70,000 ",5,,
"3647 Clarence Ave Berwyn, IL 60402","$179,000 ",2,2,918
"903 Lathrop Ave Forest Park, IL 60130","$299,999 ",2,1,"1,151"
"3641 N Pioneer Ave Chicago, IL 60634","$289,900 ",3,2,"1,247"
"1547 N North Park Ave Apt G Chicago, IL 60610","$425,000 ",2,2,"1,400"
"1300 N Astor St Unit 11A Chicago, IL 60610","$224,900 ",1,1,1
"1250 N Dearborn St Apt 8B Chicago, IL 60610","$399,000 ",2,2,"1,250"
"414 E North Water St Chicago, IL 60611","$699,000 ",3,3,"2,200"
"341 Nuttall Rd Riverside, IL 60546","$459,000 ",4,2.5,"2,302"
"1329 N Sutton Pl Chicago, IL 60610","$1,500,000 ",3,3.5,"3,826"
"1441 E Thacker St Apt 202 Des Plaines, IL 60016","$159,900 ",2,1.5,"1,225"
"1115 W Lunt Ave Apt 3A Chicago, IL 60626","$215,500 ",2,2,"1,200"
"434 W Armitage Ave Unit F Chicago, IL 60614","$889,900 ",3,2.5,"2,500"
"567 W 16th St Chicago Heights, IL 60411","$149,900 ",4,3,3
"1211 N La Salle Dr Apt 303 Chicago, IL 60610","$285,000 ",2,2,2
"1517 E 65th St Chicago, IL 60637",N/A,8,,
"6024 S Major Ave Chicago, IL 60638","$265,000 ",4,2,"1,500"
"229 Westmoreland Dr Wilmette, IL 60091","$469,800 ",4,1.5,"1,553"
"303 N Stevenson Ln Mount Prospect, IL 60056","$335,000 ",3,2,"1,225"
"Chicago, IL 60651","$249,900 ",4,2,"3,750"
"7639 N Greenview Ave Apt A Chicago, IL 60626","$205,000 ",2,2,"1,000"
"5701 N Sheridan Rd Apt 23G Chicago, IL 60660","$164,000 ",1,1,950
"1422 Sunset Ridge Rd Glenview, IL 60025","$539,900 ",3,3,"1,250"
"722 Iowa St Oak Park, IL 60302","$899,000 ",4,3.5,3.5
"236 Forest Ave River Forest, IL 60305","$995,000 ",4,3.5,3.5
"16412 Francis Ct Orland Park, IL 60467","$219,900 ",2,2.5,"1,406"
"1403 Evans Ct Elk Grove Village, IL 60007","$329,000 ",4,2.5,"1,962"
"2637 N 78th Ct Elmwood Park, IL 60707","$249,900 ",3,2,"1,284"
"9938 S Campbell Ave Chicago, IL 60655","$449,500 ",4,4,"2,252"
"10651 W 154th Pl Orland Park, IL 60462","$349,900 ",3,2.5,"1,866"
"Arlington Heights, IL 60004","$489,000 ",4,2.5,"2,160"
"2000 S Michigan Ave Apt 209 Chicago, IL 60616","$239,900 ",1,1,900
"5978 N Lincoln Ave Apt 5B Chicago, IL 60659","$259,777 ",3,2.5,"1,400"
"6835 Oak View Ct Oak Forest, IL 60452","$180,000 ",2,2,"1,600"
"1204 N 17th Ave Melrose Park, IL 60160","$130,000 ",2,1,"1,006"
"1200 N 17th Ave Melrose Park, IL 60160","$175,000 ",3,1.5,"1,767"
"2089 W Wabansia Ave Apt 302 Chicago, IL 60647","$369,000 ",1,1,950
"1352 W 64th St Chicago, IL 60636","$179,000 ",5,,
"729 S Lombard Ave Oak Park, IL 60304","$275,000 ",4,1.5,"1,560"
"476 Alles St Unit 303 Des Plaines, IL 60016","$250,000 ",2,2,"1,570"
"8344 S Luella Ave Chicago, IL 60617","$79,900 ",3,1,"1,308"
"6645 180th St Apt 1W Tinley Park, IL 60477","$139,900 ",2,2,"1,400"
"8534 W Roseview Dr Niles, IL 60714","$319,900 ",4,2,2
"4423 Edinburg Ln Hanover Park, IL 60133","$204,900 ",2,2.5,"1,810"
"5558 S Mason Ave Chicago, IL 60638","$239,900 ",3,1,"1,302"
"12910 S 71st Ct Palos Heights, IL 60463","$299,898 ",3,2,"1,650"
"6012 S Tripp Ave Chicago, IL 60629","$179,000 ",2,1,721
"7836 S Carpenter St Chicago, IL 60620","$65,000 ",4,2,"1,200"
"3600 N Lake Shore Dr Apt 2206 Chicago, IL 60613","$169,000 ",1,1,800
"4515 N Harding Ave Chicago, IL 60625","$449,000 ",6,,
"20542 Greenwood Dr Olympia Fields, IL 60461","$187,900 ",3,2.5,"2,151"
"395 Robinson Rd Riverside, IL 60546","$348,000 ",3,3,"1,937"
"14425 Highland Ave Orland Park, IL 60462","$239,900 ",3,1,1
"1517 Quaker Ln # 121C Prospect Heights, IL 60070","$167,900 ",2,1,"1,000"
"510 Maple Dr Streamwood, IL 60107","$273,500 ",3,2.5,"1,562"
"726 Therese Ter Des Plaines, IL 60016","$329,000 ",3,2,"1,308"
"221 University Dr Mount Prospect, IL 60056","$324,900 ",3,2.5,"1,881"
"890 Timothy Ln Des Plaines, IL 60016","$340,000 ",3,2,"1,731"
"712 Dempster St Apt F210 Mount Prospect, IL 60056","$115,000 ",1,1,"1,100"
"615 Circle Ave Forest Park, IL 60130","$379,000 ",4,2,"2,100"
"822 Forest Ave River Forest, IL 60305","$485,000 ",2,2,"2,172"
"319 W Erie St Apt 1W Chicago, IL 60654","$1,050,000 ",2,2.5,"2,296"
"1124 W Adams St Unit 3E Chicago, IL 60607","$1,050,000 ",3,3,"2,143"
"1701 W Augusta Blvd Chicago, IL 60622","$790,000 ",10,,
"4929 W Byron St Chicago, IL 60641","$374,900 ",4,2,"1,739"
"1426 Park Ave River Forest, IL 60305","$585,000 ",5,3.5,"3,540"
"521 W 87th St Chicago, IL 60620","$189,000 ",4,2,2
"5258 S Kenneth Ave Chicago, IL 60632","$200,000 ",3,1,"1,008"
"331 S Western Ave Park Ridge, IL 60068","$479,900 ",4,2.5,"2,541"
"317 W Prospect Ave Mount Prospect, IL 60056","$454,900 ",3,2.5,"2,300"
"835 W Lawrence Ave Chicago, IL 60640","$205,000 ",1,1,1
"2035 N Wolcott Ave Chicago, IL 60614","$1,390,900 ",6,3.5,3.5
"6318 N Odell Ave Chicago, IL 60631","$329,500 ",2,2,"1,114"
"1817 N Dayton St Chicago, IL 60614","$750,000 ",3,3.5,3.5
"2125 N Humboldt Blvd Apt C Chicago, IL 60647","$349,000 ",3,1.5,1.5
"195 N Harbor Dr Apt 3601 Chicago, IL 60601","$525,000 ",2,2,"1,300"
"1144 W Roscoe St Apt 3W Chicago, IL 60657","$409,900 ",2,2,2
"5755 N Rockwell St Chicago, IL 60659","$129,900 ",2,1,1
"8 E Randolph St Unit 2703 Chicago, IL 60601","$365,000 ",1,1,1
"1349 S Indiana Pkwy Chicago, IL 60605","$820,000 ",3,2.5,2.5
"1632 S Indiana Ave Apt 305 Chicago, IL 60616","$273,888 ",1,1,1
"10519 S Avenue F Chicago, IL 60617","$129,900 ",2,2,900
"3240 N Osceola Ave Chicago, IL 60634","$289,000 ",3,2.5,"1,296"
"306 S Elmwood Ave Palatine, IL 60074","$267,500 ",3,1,"1,501"
"8119 S Sacramento Ave Chicago, IL 60652","$229,900 ",5,2.5,"1,414"
"1099 Cranbrook Dr Schaumburg, IL 60193","$222,900 ",3,3,"1,880"
"2314 N Lincoln Park W Apt 17S Chicago, IL 60614","$983,000 ",3,3.5,3.5
"1228 W Melrose St # 2 Chicago, IL 60657","$599,000 ",2,2,2
"1620 S Michigan Ave Unit 911 Chicago, IL 60616","$219,900 ",1,1,673
"4954 N Kimball Ave Apt 2W Chicago, IL 60625","$199,900 ",2,1.5,1.5
"320 E 21st St Unit 504 Chicago, IL 60616","$327,000 ",2,2,"1,027"
"6166 N Sheridan Rd Apt 24H Chicago, IL 60660","$154,900 ",2,1.5,1.5
"3306 N Clifton Ave Apt 1S Chicago, IL 60657","$625,000 ",3,3,"2,500"
"1447 W Edgewater Ave # 1 Chicago, IL 60660","$549,900 ",3,3,"2,363"
"319 Kedzie St Apt 2E Evanston, IL 60202","$345,000 ",3,2,"2,020"
"6051 N Marmora Ave Chicago, IL 60646","$447,500 ",4,4,"1,480"
"920 N Roberta Ave Melrose Park, IL 60164","$254,900 ",4,2,"2,180"
"6155 N Forest Glen Ave Chicago, IL 60646","$650,000 ",3,2.5,"4,150"
"4770 N Manor Ave Apt 403 Chicago, IL 60625","$350,000 ",2,2,"1,287"
"3113 W Lawrence Ave Apt A202 Chicago, IL 60625","$271,500 ",2,2,2
"9151 Sunrise Ln Orland Park, IL 60462","$299,000 ",4,2.5,"2,377"
"2501 Glenview Ave Park Ridge, IL 60068","$475,000 ",4,2.5,2.5
"8000 S Talman Ave Chicago, IL 60652","$224,900 ",4,2,"2,500"
"2222 S 11th Ave Broadview, IL 60155","$99,000 ",2,1,952
"1743 N Lorel Ave Chicago, IL 60639","$325,000 ",5,3,"2,741"
"9100 S Harding Ave Evergreen Park, IL 60805","$219,900 ",3,1.5,"1,415"
"4621 Farmington Ave Richton Park, IL 60471","$169,888 ",4,3,"1,550"
"9438 Rich Ln Orland Park, IL 60467","$337,500 ",3,2.5,"1,841"
"10109 S Cicero Ave Apt 303 Oak Lawn, IL 60453","$97,500 ",1,1,900
"3541 W Irving Park Rd Chicago, IL 60618","$324,900 ",,,
"1250 N Dearborn St Apt 11A Chicago, IL 60610","$475,000 ",2,2,"1,400"
"1528 S Wabash Ave Apt 506 Chicago, IL 60605","$275,000 ",2,1,1
"1241 W Ardmore Ave # 3 Chicago, IL 60660","$175,000 ",2,1,1
"204 W Hyde St Arlington Heights, IL 60005","$285,000 ",2,3,"2,025"
"178 E Farmgate Ln Palatine, IL 60067","$399,900 ",4,3,"2,204"
"3335 W Warren Blvd Chicago, IL 60624","$147,000 ",5,,
"3001 S Michigan Ave Unit 308 Chicago, IL 60616","$74,900 ",,1,600
"534 W Brompton Ave Apt 3S Chicago, IL 60657","$308,000 ",2,1.5,1.5
"5816 Wolf Rd Apt 2A Western Springs, IL 60558","$189,900 ",2,2,"1,250"
"9000 31st St Brookfield, IL 60513","$625,000 ",,,
"30 S Stone Ave La Grange, IL 60525","$575,000 ",4,1.5,1.5
"1808 N 17th Ave Melrose Park, IL 60160","$124,900 ",2,1,873
"1136 Bradford Ln Schaumburg, IL 60193","$284,900 ",3,2.5,"1,186"
"9725 Woods Dr Unit 606 Skokie, IL 60077","$269,000 ",2,2,"1,200"
"1201 S Prairie Ave Apt 3702 Chicago, IL 60605","$999,000 ",2,2,"1,700"
"1443 W Victoria St Apt 2F Chicago, IL 60660","$160,000 ",1,1,1
"600 W Drummond Pl Apt 314 Chicago, IL 60614","$290,000 ",1,1,1
"439 Wildwood Dr Park Forest, IL 60466","$80,000 ",4,2,"1,339"
"6600 W 87th Pl Oak Lawn, IL 60453","$319,500 ",5,3,"2,089"
"1053 Riverview Dr South Holland, IL 60473","$169,000 ",4,2,"1,527"
"10830 S Fairfield Ave Chicago, IL 60655","$369,000 ",3,1.5,"1,277"
"7911 Redondo Ln Orland Park, IL 60462","$495,000 ",5,3,"4,850"
"1327 N Bell Ave Chicago, IL 60622","$719,000 ",3,3,"2,200"
"333 Dorsetshire Dr Steger, IL 60475","$74,900 ",3,1,"1,050"
"3150 N Lake Shore Dr Apt 31D Chicago, IL 60657","$450,000 ",2,2,"1,650"
"4605 N Hermitage Ave Chicago, IL 60640","$1,845,000 ",5,6,"7,000"
"1516 W Melrose St Chicago, IL 60657","$1,549,000 ",5,4.5,"5,100"
"843 W Chalmers Pl Chicago, IL 60614","$1,648,000 ",5,4.5,"5,500"
"3336 N Clifton Ave # 2 Chicago, IL 60657","$449,900 ",2,2,"1,300"
"4010 N Hermitage Ave Chicago, IL 60613","$814,900 ",3,2,2
"4302 N Tripp Ave Chicago, IL 60641","$625,000 ",5,2,"2,629"
"2150 N Kenmore Ave Chicago, IL 60614","$2,250,000 ",6,5.5,"5,500"
"33 W Huron St Apt 809 Chicago, IL 60654","$1,125,000 ",2,2,"2,035"
"132 E Delaware Pl Apt 5102 Chicago, IL 60611","$1,649,000 ",3,2.5,"2,721"
"3729 N Albany Ave Chicago, IL 60618","$775,000 ",4,3.5,"3,000"
"1018 Dundee Rd Northbrook, IL 60062","$649,000 ",5,3.5,"3,000"
"637 N Walnut Ln Schaumburg, IL 60194","$399,900 ",4,3.5,"2,176"
"5519 N Christiana Ave Chicago, IL 60625","$349,900 ",3,1.5,"2,034"
"6400 N Cicero Ave Apt 215 Lincolnwood, IL 60712","$199,900 ",2,2,2
"4226 N Melvina Ave Chicago, IL 60634","$389,000 ",4,3,"2,521"
"1049 N Keystone Ave Chicago, IL 60651","$175,000 ",5,3,"1,518"
"5201 Cleveland St Skokie, IL 60077","$399,000 ",4,2,"1,900"
"3816 Streamwood Dr Hazel Crest, IL 60429","$259,900 ",4,2.5,"2,815"
"8826 Oak Park Ave Morton Grove, IL 60053","$415,000 ",4,2.5,"1,870"
"540 W Oakdale Ave Apt 4E Chicago, IL 60657","$699,000 ",3,2,"2,000"
"2004 Dewes St Glenview, IL 60025","$1,049,000 ",6,5,5
"1314 Elizabeth Ln Glenview, IL 60025","$625,000 ",4,3,3
"218 N Cady Dr Palatine, IL 60074","$284,900 ",3,1.5,1.5
"1514 S Fernandez Ave Arlington Heights, IL 60005","$474,900 ",5,2.5,"2,724"
"1007 W Noyes St Arlington Heights, IL 60005","$479,900 ",5,4,"3,500"
"2144 Ash Ln Northbrook, IL 60062","$1,184,000 ",4,3.5,"4,097"
"1967 N Stillwater Rd Arlington Heights, IL 60004","$199,900 ",2,2,2
"636 Stirling Ln # K Prospect Heights, IL 60070","$300,000 ",3,2.5,"2,205"
"205 Cascade Dr Indian Head Park, IL 60525","$289,000 ",3,2.5,"1,700"
"5200 Carriageway Dr Apt 115 Rolling Meadows, IL 60008","$130,000 ",2,1.5,1.5
"319 Hibbard Rd Winnetka, IL 60093","$984,500 ",6,4.5,"3,800"
"9730 Koch Ct Unit 4A Orland Park, IL 60467","$236,900 ",2,2,"1,789"
"7305 173rd St Tinley Park, IL 60477","$229,900 ",3,2,"1,058"
"611 Parkwood Ave Park Ridge, IL 60068","$319,000 ",4,2,"1,172"
"915 Graceland Ave Apt 3C Des Plaines, IL 60016","$105,000 ",1,1,900
"120 S Elmhurst Ave Mount Prospect, IL 60056","$289,900 ",2,1,"1,028"
"1085 Taunton Ct Schaumburg, IL 60193","$234,800 ",3,2,"1,767"
"2536 Laurel Ln Wilmette, IL 60091","$599,000 ",4,2.5,"2,690"
"4511 Lilac Ave Glenview, IL 60025","$591,000 ",4,2.5,"2,397"
"3351 W Crystal St Chicago, IL 60651","$649,900 ",6,3,3
"3340 N Sheffield Ave Apt 4 Chicago, IL 60657","$624,900 ",2,2,2
"1821 N Dayton St Chicago, IL 60614","$739,900 ",3,2.5,"2,100"
"116 S Dee Rd Apt D Park Ridge, IL 60068","$479,900 ",3,3,"4,116"
"3718 N Bernard St Chicago, IL 60618","$399,000 ",4,,
"10 E Ontario St Apt 1602 Chicago, IL 60611","$295,000 ",1,1,995
"437 W Division St Apt 411 Chicago, IL 60610","$450,000 ",2,2,2
"7239 N Oconto Ave Chicago, IL 60631","$765,000 ",4,2.5,"2,868"
"2016 N Harlem Ave Apt 7W Elmwood Park, IL 60707","$155,000 ",2,1.5,"1,100"
"1 S Leavitt St Unit 209 Chicago, IL 60612","$249,500 ",2,2,2
"1325 Central Ave Wilmette, IL 60091","$575,000 ",3,2.5,"2,000"
"9652 S Richmond Ave Evergreen Park, IL 60805","$25,000 ",3,1,1
"8242 138th Pl Orland Park, IL 60462","$360,000 ",4,2.5,"2,265"
"3614 N Lotus Ave Chicago, IL 60641","$339,000 ",4,,
"8501 Paloma Dr Orland Park, IL 60462","$254,700 ",4,2.5,"1,800"
"3434 191st St Lansing, IL 60438","$169,900 ",3,2,"1,104"
"Berwyn, IL 60402","$274,900 ",3,1.5,"1,415"
"11471 S Lothair Ave Chicago, IL 60643","$184,000 ",3,1,"1,350"
"10813 Minnesota Ct # 65 Orland Park, IL 60467","$229,900 ",2,2.5,"2,060"
"6033 W Matson Ave Chicago, IL 60646","$499,900 ",5,,
"8000 S Constance Ave Chicago, IL 60617","$217,500 ",3,2.5,"1,892"
"1855 W 35th St Steger, IL 60475","$237,000 ",5,2.5,"3,000"
"931 Peale Ave Park Ridge, IL 60068","$528,000 ",3,2.5,"2,007"
"6407 Hummingbird Ct Matteson, IL 60443","$289,900 ",4,2.5,"2,478"
"515 Rambler Ln Streamwood, IL 60107","$212,000 ",4,1.5,"1,473"
"10008 S Saint Louis Ave Evergreen Park, IL 60805","$339,900 ",4,2.5,"2,274"
"7518 W Winnemac Ave Harwood Heights, IL 60706","$347,400 ",,2,2
"11158 S Troy St Chicago, IL 60655","$209,900 ",3,2,"1,119"
"770 W Gladys Ave Apt 406 Chicago, IL 60661","$289,000 ",1,1,1
"1109 E 82nd Pl Chicago, IL 60619","$84,000 ",2,1,800
"5317 N Kenmore Ave Apt 3B Chicago, IL 60640","$219,000 ",2,1.5,"1,000"
"4170 N Marine Dr Apt 4A Chicago, IL 60613","$349,900 ",2,2,"1,400"
"1040 W Adams St Unit 405 Chicago, IL 60607","$304,000 ",1,1,805
"1247 N Bosworth Ave # 3S Chicago, IL 60642","$495,000 ",2,2,2
"1059 N Wood St Chicago, IL 60622","$950,000 ",4,3.5,"3,030"
"420 E Waterside Dr Unit 1403 Chicago, IL 60601","$500,000 ",2,2,"1,117"
"712 Milton Rd Inverness, IL 60067","$849,000 ",5,5.5,"4,714"
"519 W Kenilworth Ave Palatine, IL 60067","$325,000 ",4,2.5,"2,123"
"1417 S Hickory Dr Mount Prospect, IL 60056","$289,900 ",3,3,3
"512 N McClurg Ct Apt 3402 Chicago, IL 60611","$209,900 ",,1,650
"222 E Pearson St Apt 1806 Chicago, IL 60611","$319,000 ",1,1,"1,000"
"3714 N Kildare Ave Chicago, IL 60641","$549,000 ",3,2.5,"1,600"
"7744 Cronin Ave Justice, IL 60458","$225,900 ",3,1.5,"1,300"
"3721 Raymond Ave Brookfield, IL 60513","$369,500 ",5,3,"1,978"
"1378 Margret St Des Plaines, IL 60018","$279,000 ",4,2,"1,892"
"3328 N Ridgeway Ave Chicago, IL 60618","$395,000 ",5,2,"1,100"
"2425 Pfingsten Rd Glenview, IL 60026","$475,000 ",3,1.5,"1,400"
"601 S 14th Ave Maywood, IL 60153","$245,500 ",4,4,"2,862"
"1838 W Race Ave Chicago, IL 60622","$1,239,900 ",4,3.5,3.5
"7537 175th St Apt 522 Tinley Park, IL 60477","$119,900 ",2,2,"1,200"
"7537 175th St Apt 536 Tinley Park, IL 60477","$104,900 ",2,2,"1,200"
"1747 N Wolcott Ave # 2 Chicago, IL 60622","$415,000 ",2,2,2
"801 S Plymouth Ct Apt 814 Chicago, IL 60605","$199,900 ",1,1,800
"10225 S Eberhart Ave Chicago, IL 60628","$145,000 ",2,2,"1,096"
"10713 S Church St Chicago, IL 60643","$475,000 ",,,
"3935 W Greenleaf Ave Lincolnwood, IL 60712","$400,000 ",3,2,"1,061"
"10004 S Torrence Ave Chicago, IL 60617","$49,900 ",3,1,800
"10002 S Torrence Ave Chicago, IL 60617","$59,900 ",2,1.5,784
"960 Perrie Dr Apt 201 Elk Grove Village, IL 60007","$114,960 ",2,1,850
"4706 W Adams St # 1 Chicago, IL 60644","$85,000 ",5,,
"13446 S Mackinaw Ave Chicago, IL 60633","$29,000 ",2,1,1
"3749 Raymond Ave Brookfield, IL 60513","$315,000 ",3,1.5,1.5
"3340 N Oconto Ave Chicago, IL 60634","$275,000 ",2,2,"1,065"
"1137 N Wood St Apt 1H Chicago, IL 60622","$599,000 ",2,2.5,"1,800"
"4229 N Kenmore Ave Apt 2N Chicago, IL 60613","$364,900 ",3,2,"1,550"
"521 Chicago Ave # I Evanston, IL 60202","$450,000 ",2,2,"2,301"
"7543 S Luella Ave Chicago, IL 60649","$50,000 ",,,
"3702 Arthur Ave Brookfield, IL 60513","$429,999 ",4,2,"1,978"
"213 Raleigh Pl Mount Prospect, IL 60056","$249,900 ",3,2.5,"1,500"
"2413 W Haddon Ave # 1 Chicago, IL 60622","$415,000 ",3,3,3
"14733 Laramie Ave Oak Forest, IL 60452","$168,000 ",3,1,"1,274"
"1720 S Michigan Ave Apt 2008 Chicago, IL 60616","$364,000 ",2,2,"1,300"
"6559 S University Ave # 205 Chicago, IL 60637","$275,000 ",3,2.5,"1,700"
"3421 W 116th Pl Chicago, IL 60655","$216,900 ",3,1,1
"1341 N Race Ave Arlington Heights, IL 60004","$899,900 ",5,4.5,"3,450"
"1766 Lee St Des Plaines, IL 60018","$724,900 ",4,4.5,"3,650"
"14400 S Harrison Ave Posen, IL 60469","$132,900 ",4,1,900
"17123 Parkside Ave South Holland, IL 60473","$237,900 ",4,2,"2,910"
"333 W Hubbard St Apt 3A Chicago, IL 60654","$450,000 ",2,2,"1,153"
"1212 N Lake Shore Dr Apt 6AN Chicago, IL 60610","$1,045,000 ",3,3,"2,150"
"1800 W Superior St Apt 1N Chicago, IL 60622","$255,000 ",2,1,"1,000"
"2942 N Wood St Unit C Chicago, IL 60657","$630,000 ",3,2.5,2.5
"20 Forbes Rd Riverside, IL 60546","$338,000 ",4,3,"2,290"
"1872 183rd St Lansing, IL 60438","$219,900 ",3,2.5,"3,490"
"254 Cove Dr Flossmoor, IL 60422","$195,900 ",4,3,"2,531"
"630 Ballantrae Dr Apt C Northbrook, IL 60062","$320,000 ",2,2.5,"2,450"
"1401 N Harlem Ave Apt A Oak Park, IL 60302","$218,000 ",2,1.5,"1,004"
"7064 N Monon Ave Chicago, IL 60646","$799,000 ",4,4,"2,665"
"21 E Huron St Apt 4601 Chicago, IL 60611","$3,995,000 ",4,4.5,"5,300"
"5430 N Lakewood Ave Chicago, IL 60640","$1,650,000 ",6,5,"6,000"
"8808 Concord Ln Unit D Justice, IL 60458","$174,900 ",2,2,2
"1421 Cleveland St Evanston, IL 60202","$449,000 ",3,1.5,"2,180"
"8246 Latrobe Ave Burbank, IL 60459","$319,900 ",4,2.5,"2,522"
"17812 Bernard Dr Apt 3D Orland Park, IL 60467","$159,900 ",2,2,"1,200"
"201 N Vail Ave Apt 703 Arlington Heights, IL 60004","$309,900 ",2,2,"1,350"
"16650 Ridgeland Ave Tinley Park, IL 60477","$299,999 ",3,3,"1,722"
"1325 N Oakmont Rd Hoffman Estates, IL 60169","$334,999 ",6,3,"2,512"
"2417 N Burling St # 1 Chicago, IL 60614","$3,450,000 ",5,6.5,"6,400"
"9354 Margail Ave Des Plaines, IL 60016","$449,900 ",4,2.5,"2,860"
"8222 N Elmore St Niles, IL 60714","$243,900 ",2,1,"1,100"
"10005 S Kilbourn Ave Oak Lawn, IL 60453","$259,500 ",3,1.5,"1,553"
"6036 W 63rd Pl Chicago, IL 60638","$289,500 ",5,2,"1,100"
"3652 W McLean Ave Chicago, IL 60647","$299,900 ",6,,
"12928 E Tanglewood Cir Palos Park, IL 60464","$349,900 ",4,3,"2,800"
"2652 W 99th St Evergreen Park, IL 60805","$20,000 ",,,
"10918 S Bell Ave Chicago, IL 60643","$499,900 ",4,2.5,"3,100"
"1518 N Rockwell St Chicago, IL 60622","$800,000 ",4,3.5,3.5
"101 David Dr Streamwood, IL 60107","$245,900 ",4,2,"1,878"
"3700 N Nottingham Ave Chicago, IL 60634","$325,000 ",7,3,3
"2565 West St River Grove, IL 60171","$299,000 ",3,2.5,"1,732"
